,N.º,Serie,Director,Año,Recaudación en otros paises,Recaudación en España
0,1,Los otros,Alejandro Amenábar,2001,"209,947,037","56,194,668"
1,2,Lo imposible,Juan Antonio Bayona,2012,"180,274,123","42,444,290"
2,3,Planet 51,Jorge Blanco,2009,"105,647,102","36,146,627"
3,4,Volver,Pedro Almodóvar,2006,"85,585,177","27,254,163"
4,5,El laberinto del fauno,Guillermo del Toro,2006,"83,258,226","26,507,290"
5,6,El orfanato,Juan Antonio Bayona,2007,"78,638,987","25,061,449"
6,7,Ocho apellidos vascos,Emilio Martínez-Lázaro,2014,"77,456,713","22,847,733"
7,8,Todo sobre mi madre,Pedro Almodóvar,1999,"67,872,296","22,142,173"
8,9,Las aventuras de Tadeo Jones,Enrique Gato,2012,"60,800,000","21,391,197"
9,10,Hable con ella,Pedro Almodóvar,2002,"51,001,550","21,337,147"
